product_name_clean,contains_gluten,contains_dairy,contains_nuts,contains_peanut,contains_seafood,contains_egg,contains_soy,contains_celery,contains_mustard,contains_sesame,contains_sulfite,contains_other,contains_unknown,allergen_match_count,allergen_sources,label_sources,confidence
+ cellulose gel,False,False,False,False,False,False,False,False,False,False,False,False,False,1,allergies_10k,explicit_empty_allergen_list,high
+ electrolytes beyond water,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
+ h2o low calorie drink mix iced tea,False,False,False,False,False,False,False,False,False,False,True,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
++ nonfat milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,allergies_10k,explicit_ingredient_allergen_tags,high
+cocoa butter cane sugar,False,True,False,False,False,False,False,False,False,False,False,False,False,1,allergies_10k,keyword_from_ingredient_text,medium
"+energy beverage blend, orange pineapple",False,False,False,False,False,False,False,False,False,False,False,True,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"+energy beverage blend, peach mango",False,False,False,False,False,False,False,False,False,False,False,True,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"+h2o, lemonade low calorie drink mix, lemonade",False,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"+plusbar chia crisp, chocolate peanut butter",True,True,True,True,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
"+plusbar chia, chocolate",True,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
+plusbar protein,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"+plusbar, blueberry almond chia crisp",True,True,True,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
- 162 g,True,True,False,False,False,False,False,False,False,True,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
- 946 ml,False,True,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"-kung pao- tempura cauliflower battered cauliflower with a kung pao sauce, tempura cauliflower",True,False,False,False,False,False,True,False,False,True,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
-spices,False,False,False,False,False,False,False,False,False,False,False,False,False,1,allergies_10k,explicit_empty_allergen_list,high
.,False,True,True,True,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
.75oz doritos nacho,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
.92 ounce jack link s beef original sticks 1 1 count,False,False,False,False,False,False,False,True,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
.92 ounce jack link s teriyaki beef sticks 1 1 count,False,False,False,False,False,False,True,True,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 fat free cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
0 fat free lactose free milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 fat free milk,False,True,False,False,False,False,False,False,False,False,False,False,False,17,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 fat free protein milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 fat free small curd cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,4,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
"0 fat free small curd cottage cheese with pineapple, pineapple",False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 fat free small curd milkfat cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
0 fat free ultra-filtered organic milk,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 fat vanilla yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,3,foods_allergens|foods_dietary_restrictions|foods_health_scores_allergens,explicit_boolean_or_allergen_tags,high
0 fat-free milk,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 milkfat all natural greek strained yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
"0 milkfat all natural with strawberry nonfat greek strained yogurt, strawberry",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"0 milkfat blended vanilla nonfat greek strained yogurt, vanilla",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"0 milkfat fat free cottage cheese small curd with pineapple, pineapple",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 milkfat fat free small curd cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
0 milkfat small curd cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
0 milkfat small curd with pineapple cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"0 milkfat with peach all natural nonfat greek strained yogurt, peach",False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 nonfat greek yogurt with fruit,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 nonfat yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0 sugars added digestive,True,False,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0.33 lb bacon cheddar patties,False,True,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0.6 m.f. fat free sour cream product,False,True,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
00 neapolitan-style gluten-free pizza flour,True,False,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
00 pizza flour,True,False,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
0055742561883,False,False,True,True,False,False,True,False,False,False,True,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"01 field of greens, romaine, swiss chard, kale, celery, cucumber, lemon",False,False,False,False,False,False,False,True,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
0230 choc-au-lait gourmet white baking chips,False,True,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
03.06.2024 deu101h 0 14 4,False,True,False,False,False,False,False,False,False,False,False,False,False,3,foods_allergens|foods_dietary_restrictions|foods_health_scores_allergens,explicit_boolean_or_allergen_tags,high
04 turmeric tang,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"0chocolatey covered peanut caramel bar, chocolatey",False,True,True,True,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"0g total sugar 70 dark chocolate peanut butter cups, dark chocolate",True,True,True,True,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
1,False,True,False,False,False,False,False,False,False,False,False,False,False,3,foods_allergens|foods_dietary_restrictions|foods_health_scores_allergens,explicit_boolean_or_allergen_tags,high
1 1 2 lowfat cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 1 2 reduced fat cultured buttermilk,False,True,False,False,False,False,False,False,False,False,False,False,False,3,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 1 2 reduced fat milk,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 10 of 1 benzoate of soda,False,False,False,False,False,False,False,False,False,False,False,False,False,1,allergies_10k,explicit_empty_allergen_list,high
1 2 big apple turkey,True,True,True,False,False,False,False,False,True,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 cheese pizza 1 2 pepperoni pizza,True,True,False,False,False,False,True,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"1 2 cheese pizza 1 2 pepperoni pizza, real cheese",True,True,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 crinkle cut french fries,False,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 2 crinkle cut french fries frozen potatoes, crinkle cut",False,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 dry curd cottage cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
1 2 fat ice cream,False,True,False,False,False,False,False,False,False,False,False,False,False,1,openfoodfacts,openfoodfacts_explicit_allergen_tags,high
"1 2 loaf hearty rye special recipe bread, hearty rye",True,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 loaf special recipe bread,True,False,False,False,False,False,True,False,False,True,False,False,False,2,comprehensive_foods_usda|healthy_foods_database,keyword_from_food_name_or_ingredients,medium
1 2 loaf white enriched bread,True,False,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 lowfat milk,False,True,False,False,False,False,False,False,False,False,False,False,False,5,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
1 2 marble grad cake with red borders,True,True,False,False,False,True,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
"1 2 pepperoni 1 2 cheese original rising crust pizza, 1 2 pepperoni 1 2 cheese",True,True,False,False,False,False,True,False,False,False,False,False,False,1,comprehensive_foods_usda,keyword_from_food_name_or_ingredients,medium
