food_id,food_name,image_url,declared_status,http_status,content_type,content_length,access_status,reason
FD0001,abon,https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg,ok,200,image/webp,75938,accessible,head
FD0002,abon haruwan,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg,ok,200,image/jpeg,,accessible,head
FD0003,agar-agar,https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg,ok,200,image/jpeg,38681,accessible,head
FD0004,alpukat segar,https://upload.wikimedia.org/wikipedia/commons/c/c9/Avocado_Hass_-_single_and_halved.jpg,refreshed,200,image/jpeg,25946218,accessible,head
FD0005,anggur hutan segar,https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9,ok,200,image/jpeg,109313,accessible,head
FD0006,anyang sayur,https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg,ok,200,image/jpeg,358092,accessible,head
FD0007,apel,https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg,ok,200,image/jpeg,112950,accessible,head
FD0008,apel malang segar,https://pasarsegar.co.id/wp-content/uploads/2020/09/name-63-1.jpg,ok,200,image/jpeg,13610,accessible,head
FD0009,arbei,https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg,ok,200,image/jpeg,100405,accessible,head
FD0010,ares sayur,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg,ok,200,image/jpeg,74197,accessible,head
FD0011,asinan bogor sayuran,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,200,image/jpeg,2336518,accessible,head
FD0012,ayam goreng kentuckysayap,https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg,ok,200,image/jpeg,,accessible,head
FD0013,ayam ampela goreng,https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg,ok,200,image/webp,14764,accessible,head
FD0014,ayam goreng kalasan paha,https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0015,ayam goreng tepung dada,https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0016,ayam goreng tepung paha,https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
